Scenario,TicketName,TicketSummary,TicketDescription
create ticket,Ticket024,login issues,"I keep getting logged out when I try to sign in. I am entering the correct credentials but the login fails and loops. Please resolve this issue so I can access my account."
create ticket,Ticket025,password-reset,"I forgot my password and the reset email link fails every time. It opens but then says the reset cannot be completed. Please send a valid reset link or reset it on your side."
create ticket,Ticket026,Account Locked,"My account shows locked due to security checks after I tried multiple passwords. I need access to complete my work and cannot sign in. Please unlock the account and advise on any verification needed."
create ticket,Ticket027,Account Setup,"I am trying to finish account setup and the system will not save my profile. After I submit, it returns to the start of onboarding. Please fix the setup and activate the account."
create ticket,Ticket028,form-addition,"I need a new form added to my profile for a new workflow. The existing forms do not include the required fields we must capture. Please add the form and confirm when it is ready."
create ticket,Ticket029,login issues,"I am unable to log in even though my credentials are correct. MFA prompts appear but I do not receive a code. Please check the authentication system and restore access."
create ticket,Ticket030,password-reset,"I requested a password reset and the link expired before I could use it. I tried again but the same error occurs when I submit a new password. Please reset my password or issue a valid link."
create ticket,Ticket031,Account Locked,"I attempted to sign in too many times and now my account is locked. I was trying to fix a forgotten password and hit the limit. Please unlock it and let me know if anything else is required."
create ticket,Ticket032,Account Setup,"I created a new account and the setup wizard is not completing. It stops after my profile details and I cannot access features. Please help complete the setup and activate the account."
create ticket,Ticket033,form-addition,"I am requesting a new form to be added for additional profile data. The current options do not support the information I need to record. Please add the form and let me know when it is live."
create ticket,Ticket034,login issues,"I cannot sign in with my correct password. The login process keeps looping and never completes. Please investigate and restore my access."
create ticket,Ticket035,password-reset,"I forgot my password and the reset process is failing. The reset page shows an error after I submit a new password. Please reset the password or provide a working link."
create ticket,Ticket036,Account Locked,"My account has been disabled due to too many failed attempts. I was trying to log in from a new device and got locked out. Please unlock my account and confirm the next steps."
create ticket,Ticket037,Account Setup,"I am completing onboarding and the setup does not progress after profile creation. The system keeps returning to the same step. Please finalize the setup so I can start using the account."
create ticket,Ticket038,form-addition,"I need a form added to capture additional fields for my profile. The existing forms do not meet the requirements for our workflow. Please add the form and notify me once available."
create ticket,Ticket039,login issues,"I am unable to log in and I know my credentials are correct. The MFA prompt appears but no code is delivered. Please resolve the login and MFA issue."
create ticket,Ticket040,password-reset,"I requested a password reset but the link does not work. After submitting the new password, it errors out and does not change. Please reset my password or send a valid link."
create ticket,Ticket041,Account Locked,"I was locked out after multiple sign-in attempts while trying to remember my password. Now I cannot access my account at all. Please unlock my account and advise if further verification is needed."
create ticket,Ticket042,Account Setup,"I just registered and the onboarding workflow will not complete. It freezes after profile details and does not enable features. Please help complete setup and activate the account."
create ticket,Ticket043,form-addition,"I need a new form added to my profile for a new data capture process. The current form list lacks required fields for compliance. Please add the form and confirm when it is ready."
create ticket,Ticket044,login issues,"I am having repeated login failures even with correct credentials. The system requests MFA but the code never arrives. Please check the authentication and restore my access."
create ticket,Ticket045,password-reset,"I cannot reset my password because the link fails when I submit. I tried multiple times and it still errors out. Please send a new reset link or reset it for me."
create ticket,Ticket046,Account Locked,"My account is locked due to security after several failed login attempts. I was trying to sign in quickly and hit the limit. Please unlock the account and let me know if I need to verify identity."
create ticket,Ticket047,Account Setup,"I am setting up a new account and the onboarding does not save my progress. After I submit the profile, it returns me to the start. Please complete the setup and activate the account."
create ticket,Ticket048,form-addition,"I need a new form added so I can store additional profile data. The current fields are not sufficient for my requirements. Please add the form and let me know when it is enabled."
create ticket,Ticket049,login issues,"I cannot log in and the system keeps rejecting my password. MFA prompts appear but I do not receive any code. Please fix the login and MFA delivery."
create ticket,Ticket050,password-reset,"I forgot my password and the reset email link is not valid. Each attempt fails after I enter a new password. Please provide a valid reset link or reset it for me."
create ticket,Ticket051,Account Locked,"I tried signing in multiple times and my account is now locked. I was unsure of my password and exceeded the limit. Please unlock my account and advise on next steps."
create ticket,Ticket052,Account Setup,"I created an account and cannot complete onboarding. The setup stops after profile creation and I cannot enable features. Please help finish setup and activate my account."
create ticket,Ticket053,form-addition,"I am requesting a form addition for my profile data collection. The existing forms do not include the fields I need for my workflow. Please add the form and notify me when it is available."
create ticket,Ticket054,login issues,"I keep getting login errors even with the correct username and password. The MFA step is triggered but no code is delivered. Please resolve the login issue and restore access."
create ticket,Ticket055,password-reset,"I attempted to reset my password but the link errors out after submission. The password never updates and I remain locked out. Please reset my password or send a working link."
create ticket,Ticket056,Account Locked,"My account was locked after I tried to log in too many times. I was testing a few passwords and now access is disabled. Please unlock the account and confirm if a reset is required."
create ticket,Ticket057,Account Setup,"I am onboarding a new account and the setup wizard will not complete. It stalls after I enter profile details and I cannot proceed. Please complete the setup and activate the account."
create ticket,Ticket058,form-addition,"I need an additional form added to capture new profile information. The current forms are missing required data fields for my process. Please add the form and confirm availability."
create ticket,Ticket059,login issues,"I cannot log in and the page keeps looping back to sign-in. I have confirmed my credentials are correct but access still fails. Please investigate and restore my login."
create ticket,Ticket060,password-reset,"I forgot my password and the reset link keeps failing. After I enter a new password the page shows an error. Please reset my password or provide a valid link."
create ticket,Ticket061,Account Locked,"My account is locked after too many failed attempts. I was trying to access from a different browser and got blocked. Please unlock my account and let me know the next steps."
create ticket,Ticket062,Account Setup,"I created a new account and the onboarding checklist will not finish. The system keeps returning to the profile step after I submit. Please complete the setup and activate the account."
create ticket,Ticket063,form-addition,"I need a new form added to my profile for additional data collection. The standard forms do not cover the fields I need. Please add the form and confirm when it is ready."
create ticket,Ticket064,login issues,"I am unable to log in even with correct credentials. The MFA code does not arrive and I cannot proceed. Please resolve the login and MFA issue."
create ticket,Ticket065,password-reset,"I requested a password reset but the link expires before it works. When I try again, it still fails after I submit a new password. Please reset my password or send a valid link."
create ticket,Ticket066,Account Locked,"My account has been locked due to security after repeated login attempts. I was trying to remember my password and reached the limit. Please unlock it so I can access my account."
create ticket,Ticket067,Account Setup,"I am setting up a new account and cannot complete the onboarding process. The setup page freezes after profile creation. Please help me finish setup and activate the account."
create ticket,Ticket068,form-addition,"I need a form added to store additional profile details. The existing forms do not support the fields I need to capture. Please add the form and confirm once it is available."
create ticket,Ticket069,login issues,"I cannot log in and the system rejects my credentials. The MFA prompt appears but no verification code arrives. Please fix the authentication issue and restore access."
create ticket,Ticket070,password-reset,"I forgot my password and the reset link does not accept the new password. Each attempt ends with an error and nothing changes. Please reset my password or send a valid link."
create ticket,Ticket071,Account Locked,"My account is locked after too many failed sign-in attempts. I was trying different passwords and hit the security limit. Please unlock the account and advise on any verification needed."
create ticket,Ticket072,Account Setup,"I just created my account and the onboarding steps do not complete. The system keeps returning to the profile screen after I submit. Please complete the setup and enable my account features."
create ticket,Ticket073,form-addition,"I am requesting an additional form for my profile. The current forms do not include the fields required for my workflow. Please add the form and let me know when it is ready."
create ticket,Ticket074,login issues,"I am unable to log in even with the correct username and password. The MFA step is triggered but no code is delivered. Please resolve this login issue promptly."
create ticket,Ticket075,password-reset,"I attempted to reset my password but the link failed after submission. The system reports an error and the password remains unchanged. Please reset it for me or send a valid link."
create ticket,Ticket076,Account Locked,"My account was locked after repeated attempts to log in. I was trying to access from a new device and reached the limit. Please unlock my account and confirm the next steps."
create ticket,Ticket077,Account Setup,"I am onboarding a new account and the setup does not progress beyond the profile step. The system does not save the onboarding completion status. Please help finalize the setup and activate my account."
create ticket,Ticket078,form-addition,"I need a new form added for capturing extra profile fields. The existing forms are missing key data points for our process. Please add the form and confirm once available."
create ticket,Ticket079,login issues,"I cannot log in and the system keeps returning to the sign-in page. I have verified my credentials but access still fails. Please investigate and restore access."
create ticket,Ticket080,password-reset,"I forgot my password and the reset link is not functioning. After entering a new password, the page errors and does not update. Please reset it or send a valid link."
create ticket,Ticket081,Account Locked,"My account shows as locked due to security after multiple failed attempts. I was trying to fix my password and now access is blocked. Please unlock my account and advise on any verification."
create ticket,Ticket082,Account Setup,"I created my account and the onboarding process will not finish. It stalls after profile creation and features remain disabled. Please complete setup and activate the account."
create ticket,Ticket083,form-addition,"I am requesting a new form to be added to my profile. The current forms do not include the fields required for my workflow. Please add the form and let me know when it is ready."
create ticket,Ticket084,login issues,"I am having login issues even though I am using the correct credentials. MFA is requested but the code never arrives. Please fix the login issue so I can access my account."
create ticket,Ticket085,password-reset,"I tried to reset my password but the link is invalid. The reset form errors out after I submit a new password. Please reset my password or provide a working link."
create ticket,Ticket086,Account Locked,"My account has been locked after multiple failed logins. I was attempting to sign in quickly and got blocked. Please unlock my account and confirm any next steps."
create ticket,Ticket087,Account Setup,"I am setting up a new account and the onboarding workflow does not complete. The profile step saves but the setup never finishes. Please help me complete setup and activate the account."
create ticket,Ticket088,form-addition,"I need an additional form added to my profile to capture new data. The current list does not contain the required fields. Please add the form and confirm when it is available."
create ticket,Ticket089,login issues,"I cannot log in and the system rejects my credentials. MFA codes are not being delivered to me. Please resolve the login and MFA issue."
create ticket,Ticket090,password-reset,"I forgot my password and the reset workflow fails each time. The link opens but errors after I submit a new password. Please reset my password or send a valid link."
create ticket,Ticket091,Account Locked,"My account is locked after too many attempts to sign in. I was trying to recover access and exceeded the limit. Please unlock it and let me know if I need to verify anything."
create ticket,Ticket092,Account Setup,"I just created my account and cannot finish the setup steps. The onboarding page loops after I enter profile details. Please complete the setup and enable my account features."
create ticket,Ticket093,form-addition,"I am requesting a new form to be added for my profile. The current forms do not cover the fields I need for daily work. Please add the form and confirm availability."
create ticket,Ticket094,login issues,"I am unable to log in with correct credentials. The MFA prompt appears but no code is sent. Please fix the authentication flow and restore access."
create ticket,Ticket095,password-reset,"I attempted a password reset but the link does not work. After I enter a new password, it errors and does not update. Please reset my password or send a new link."
create ticket,Ticket096,Account Locked,"My account is locked due to multiple failed login attempts. I was testing passwords and now access is blocked. Please unlock my account so I can proceed."
create ticket,Ticket097,Account Setup,"I am setting up my account and the onboarding never completes. The profile step is saved but the setup status remains incomplete. Please finish the setup and activate the account."
create ticket,Ticket098,form-addition,"I need a new form added to capture additional profile data. The existing forms are missing important fields for my workflow. Please add the form and confirm when it is ready."
create ticket,Ticket099,login issues,"I cannot log in and the system keeps looping back to sign-in. I have confirmed the password is correct but access still fails. Please resolve the login issue."
create ticket,Ticket100,password-reset,"I forgot my password and the reset link fails every time. The page shows an error after I submit a new password. Please reset my password or send a working link."
